code_prefix,country_id,country_code,country_title,region_title,current_rate,billing_term,last_updated,rate_status
"35529750","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529763","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529780","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35531150","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35531151","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35531250","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35531350","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35531351","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536023","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536043","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536063","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536073","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536090","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536150","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536240","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536290","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536340","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536380","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536440","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536480","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536540","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536580","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536640","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536670","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536740","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536770","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536840","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536890","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536923","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35536993","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537140","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537141","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537223","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537263","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537283","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537293","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537340","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537370","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537393","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537450","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537490","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537494","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537523","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537563","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537590","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537623","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537680","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537740","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537773","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537790","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537823","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537843","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537853","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537870","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35537890","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538150","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538151","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538152","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538240","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538241","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538350","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538423","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538470","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538523","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538593","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538623","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538650","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538680","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538693","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538725","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538790","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538850","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538923","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538940","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35538980","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539150","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539151","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539240","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539241","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539360","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539361","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539450","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539560","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539640","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539690","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539740","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539790","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539823","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539850","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35539880","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35547210","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35547425","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35547550","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35547700","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35547870","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35547950","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35548270","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35548271","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35548272","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35548570","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35548660","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35548750","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35548855","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35548935","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35548936","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35549250","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35549440","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35549560","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35549730","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35549830","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35549930","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35551240","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35551241","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35551360","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35551361","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35551460","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35551461","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35556150","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35556240","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35556293","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35556340","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35556445","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35556465","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35556550","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35556583","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557043","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557070","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557094","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557180","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557260","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557390","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557463","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557464","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557494","2","ALB","Albania","","0.4041","30/6","2021-01-01","higher",
"35557543","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557544","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557584","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557643","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557644","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557683","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557770","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557771","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557843","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557865","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557943","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557963","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35557993","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558023","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558073","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558150","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558151","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558250","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558323","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
